event,node,start,end
form start,,1596522612271,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596522612274,1596522613983
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596522614020,1596522615274
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596522615303,1596522757569
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596522757582,1596522762566
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596522762582,1596522763864
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596522763883,1596522777157
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596522777169,1596522778324
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596522778339,1596522779615
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596522779636,1596522785832
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596522785851,1596522791001
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596522791025,1596522800804
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596522800824,1596522807246
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596522807264,1596522811524
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596522811540,1596522833183
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596522833200,1596522838556
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596522838580,1596522845340
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596522845362,1596522853907
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596522853967,1596522859364
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596522859377,1596522860676
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596522860695,1596522863428
