event,node,start,end
form start,,1596620789618,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596620789620,1596620790908
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596620790941,1596620792144
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596620792158,1596620825249
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596620825265,1596620829667
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596620829690,1596620855268
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596620855278,1596620867329
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596620867344,1596620881819
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596620881830,1596620883303
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596620883314,1596620887521
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596620887537,1596620893763
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596620893774,1596620925665
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596620925681,1596620930649
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596620930661,1596620968243
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596620968254,1596620970371
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596620970380,1596620995032
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596620995042,1596621003775
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596621003817,1596621014205
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596621014218,1596621015699
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596621015709,1596621029902
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596621029908,1596621030833
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596621030847,1596621035500
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596621035510,1596621044995
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596621045011,1596621067531
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d2_year_first_displaced,1596621067543,1596621102633
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1596621102647,1596621156285
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1596621156299,1596621156620
