event,node,start,end
form start,,1596694394686,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596694394687,1596694396015
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596694396029,1596694396800
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596694396811,1596694398307
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596694398318,1596694444498
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596694444509,1596694445556
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596694445568,1596694446397
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596694446407,1596694447788
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596694447798,1596694454310
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596694454319,1596694464926
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596694464935,1596694466853
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596694466867,1596694468489
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596694468499,1596694475630
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596694475641,1596694487264
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596694487274,1596694491604
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596694491614,1596694492858
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596694492868,1596694517334
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596694517348,1596694518471
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596694518481,1596694519225
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596694519233,1596694519876
