event,node,start,end
form start,,1596878649782,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596878649785,1596878650923
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596878650956,1596878651996
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596878652022,1596878658462
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596878658474,1596878731925
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596878731939,1596878733171
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596878733186,1596878754303
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596878754318,1596878755444
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596878755462,1596878760601
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596878760616,1596878761476
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596878761494,1596878772501
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596878772514,1596878773663
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596878773688,1596878774924
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596878774940,1596878784554
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596878784572,1596878792602
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596878792627,1596878809127
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596878809146,1596878824375
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596878824388,1596878844541
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596878844559,1596878850910
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596878850925,1596878854438
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b19_hohh_benefit_receive,1596878854465,1596878864568
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596878864590,1596878871630
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596878871647,1596878877203
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596878877287,1596878879742
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596878879757,1596878880961
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596878880979,1596878883268
