event,node,start,end
form start,,1596098339200,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596098339202,1596098346791
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596098346821,1596098348641
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596098348669,1596098356846
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596098356858,1596098363431
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596098363444,1596098364766
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596098364789,1596098389456
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596098389469,1596098390794
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596098390814,1596098394401
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596098394424,1596098398258
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596098398272,1596098400113
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596098400128,1596098422796
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596098422810,1596098430326
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596098430343,1596098432112
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596098432128,1596098436441
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596098436454,1596098438062
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596098438082,1596098438809
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596098438824,1596098439884
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596098439899,1596098441598
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596098441615,1596098444003
