event,node,start,end
form start,,1596785578307,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596785578312,1596785579544
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596785579560,1596785580600
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596785580612,1596785703987
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596785704000,1596785708869
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596785708880,1596785736862
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596785736871,1596785737965
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596785737975,1596785754841
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596785754851,1596785791173
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596785791187,1596785804307
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596785804317,1596785805626
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596785805635,1596785810467
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596785810482,1596785811900
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596785811910,1596785816285
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596785816294,1596785817781
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596785817792,1596785835273
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596785835292,1596785840272
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596785840284,1596785841493
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596785841510,1596785848426
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596785848436,1596785857896
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596785857905,1596785859786
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b19_hohh_benefit_receive,1596785859794,1596785867738
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596785867747,1596785873487
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596785873496,1596785883691
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596785883729,1596785889907
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596785889916,1596785891080
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596785891091,1596785893454
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596785893463,1596785901301
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c1_hh_memb_age,1596785901324,1596785915726
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596785915734,1596785916516
