event,node,start,end
form start,,1596617123869,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596617123872,1596617140844
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596617140881,1596617186306
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596617186332,1596617187570
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596617187584,1596617199769
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596617199788,1596617366314
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596617366335,1596617489982
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596617490001,1596617491022
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596617491044,1596617500014
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596617500027,1596617500963
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596617500985,1596617513122
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596617513135,1596617514428
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596617514444,1596617518132
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596617518150,1596617529498
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596617529525,1596617544796
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596617544815,1596617560072
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596617560088,1596617562145
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596617562162,1596617566993
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596617567017,1596617574456
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596617574478,1596617579457
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596617579473,1596617592515
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596617592531,1596617598726
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596617598749,1596617607356
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596617607375,1596617614653
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596617614722,1596617624394
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596617624408,1596617625533
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596617625549,1596617627010
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596617627033,1596617638865
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c1_hh_memb_age,1596617638933,1596617646429
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c2_hh_memb_sex,1596617646443,1596617647758
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c3_hh_member_description,1596617647776,1596617651734
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c5_hh_memb_income,1596617651749,1596617660811
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596617660832,1596617667166
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1596617667180,1596617671797
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1596617671818,1596617673187
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1596617673202,1596617683651
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e4_damaged_accomodation,1596617683666,1596617695416
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e5_damaged_accomodation_severity,1596617695440,1596617698471
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e6_ownership_documents,1596617698493,1596617707437
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e8_ownership_documents_name,1596617707457,1596617708443
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e11_items_do_not_have_per_hh,1596617708470,1596617722049
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e12_items_not_every_hh_member,1596617722066,1596617738758
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e13_need_but_do_not_have,1596617738778,1596617741233
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f1_utility_services_used,1596617741245,1596617753547
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f2_spend_on_utilities,1596617753570,1596617783825
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f4_type_fuel_heating,1596617783839,1596617794665
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f8_do_you_receive_state_subsidies_for_utilities_gas,1596617794694,1596617797708
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f9_electricity_shortages,1596617797725,1596617804734
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f10_gas_shortages,1596617804759,1596617805657
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f9_electricity_shortages,1596617805670,1596617806396
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f10_gas_shortages,1596617806427,1596617808876
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f11_dinking_water_source,1596617808900,1596617825261
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f12_drinking_water_treat,1596617825282,1596617828335
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f14_technical_water_source,1596617828355,1596617837929
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f15_water_shortages,1596617837957,1596617846991
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f17_store_drinking_water,1596617847012,1596617858169
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f18_water_sufficient,1596617858192,1596617860525
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f17_store_drinking_water,1596617860538,1596617865409
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f18_water_sufficient,1596617865425,1596617866244
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f19_type_toilets,1596617866254,1596617866991
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f18_water_sufficient,1596617867007,1596617872803
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f19_type_toilets,1596617872823,1596617923284
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f20_problms_pump_sewage,1596617923311,1596617931070
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f21_method_garbage_dispose,1596617931087,1596617936967
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g1_cereals_consumption,1596617936981,1596617942567
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g2_roots_consumption,1596617942585,1596617943893
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g3_vegetables_consumption,1596617943911,1596617949638
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g4_fruits_consumption,1596617949655,1596617950444
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g5_meat_consumption,1596617950469,1596617977945
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g6_eggs_consumption,1596617977963,1596617988757
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g7_pulses_consumption,1596617988771,1596617990307
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g8_dairy_consumption,1596617990325,1596617998805
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g9_oil_consumption,1596617998819,1596618002033
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g10_sugar_consumption,1596618002055,1596618003285
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g11_condiments_consumption,1596618003307,1596618004245
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_security/h1_nofood_noresources,1596618004266,1596618020887
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_security/h2_sleep_hungry,1596618020906,1596618022097
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_security/h3_day_and_night_hungry,1596618022117,1596618023292
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i1_coping_strategies,1596618023307,1596618034826
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i2_spent_savings,1596618034848,1596618044826
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i3_borrowed_food,1596618044849,1596618055347
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i4_live_another_family,1596618055368,1596618056968
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i5_sold_assets,1596618056984,1596618062424
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i6_removed_children_from_school_kindergarten,1596618062436,1596618064364
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i7_reduced_health_care,1596618064382,1596618080162
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i8_reduced_education,1596618080179,1596618081887
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i9_sold_house,1596618081916,1596618083574
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i10_hh_migrated,1596618083592,1596618085000
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i11_moved_for_work,1596618085015,1596618086550
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i12_risk_job,1596618086567,1596618097135
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j1_edu_facility_hh_access,1596618097151,1596618100408
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j2_precovid_number_children_school,1596618100423,1596618114175
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j3_precovid_number_children_dropped,1596618114196,1596618116206
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j4_number_children_follow_curriculum,1596618116221,1596618116819
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j5_unable_attend_school_more_than_month,1596618116831,1596618119025
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j8_problems_school,1596618119041,1596618121043
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j9_education_security_concerns_childs_commute_to_school,1596618121066,1596618122760
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j10_education_security_concerns_in_the_vicinity_of_facility,1596618122771,1596618124936
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j11_school_supplies_affordable,1596618124949,1596618136685
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j12_children_under18_absent,1596618136701,1596618138760
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l1_specialist_care_available,1596618138779,1596618170812
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l2_HH_access_healthcare,1596618170841,1596618194504
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l3_difficult_access_health,1596618194518,1596618205224
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l4_which_difficult_access_health,1596618205239,1596618222467
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l4_1_which_difficult_access_health_other,1596618222487,1596618235769
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l4_which_difficult_access_health,1596618235789,1596618243355
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l4_1_which_difficult_access_health_other,1596618243374,1596618244218
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l5_state_medication_aware,1596618244235,1596618295329
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l7_pss,1596618295353,1596618297029
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l8_trauma_rehab,1596618297048,1596618298180
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l9_time_walk_health_facility,1596618298201,1596618302162
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_food_market/m1_probl_food_market_access,1596618302178,1596618309368
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n1_HH_total_expenditure,1596618309388,1596618370461
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n2_spend_on_food,1596618370473,1596618374336
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n3_in_debt,1596618374351,1596618379909
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n4_spend_debt,1596618379920,1596618381497
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n3_in_debt,1596618381521,1596618382276
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n6_hhmember_security_incident_30days,1596618382292,1596618393217
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n7_gpc_docs_passport,1596618393238,1596618394926
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n6_hhmember_security_incident_30days,1596618394942,1596618396662
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n7_gpc_docs_passport,1596618396677,1596618402573
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n10_gpc_docs_birthcert,1596618402597,1596618403879
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n11_birth_certificates_issued,1596618403894,1596618407365
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n14_docs_legal_assistance_needed,1596618407387,1596618412872
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n15_legal_assistance_needed,1596618412893,1596618413780
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n16_gpc_access_justice,1596618413794,1596618415386
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n17_community_affectedby_mines,1596618415406,1596618416971
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n18_aware_mine_incident,1596618416992,1596618417781
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n19_extent_mines_affect,1596618417796,1596618419148
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n21_ewr_report,1596618419171,1596618434212
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/covid19_impact/o1_restrictions_impact_hh,1596618434231,1596618460621
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/covid19_impact/o2_hh_action_prevent_covid,1596618460636,1596618477407
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/covid19_impact/o3_hh_activity_member_ill_or_deceased,1596618477431,1596618480337
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p0_informed_about_the_topics,1596618480350,1596618481302
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p1_informed_availability,1596618481319,1596618488976
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p2_informed_rights,1596618488996,1596618489577
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p1_informed_availability,1596618489589,1596618490335
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p2_informed_rights,1596618490358,1596618494679
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p3_informed_registration,1596618494701,1596618497389
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p4_informed_behaviour,1596618497420,1596618500267
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p5_priority_needs,1596618500290,1596618524813
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p6_HH_received_aid_12_months,1596618524836,1596618530482
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p12_type_information,1596618530503,1596618548520
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p13_information_source,1596618548535,1596618550794
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p12_type_information,1596618550812,1596618555465
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p13_information_source,1596618555487,1596618579913
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p14_preferred_means_information,1596618579928,1596618590628
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p15_delivery_mode_type,1596618590643,1596618651908
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p16_soap_household,1596618651924,1596618661371
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p17_follow_up,1596618661385,1596618671075
jump,,1596618671076,1596618680621
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596618679504,1596618680621
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596618680638,1596618691028
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596618691041,1596618692115
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596618692131,1596618693234
jump,,1596618693234,1596618739339
end screen,,1596618739450,1596618740321
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r5_gps_work,1596618740321,1596618744364
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r4_current_rectangle_id,1596618744505,1596618745195
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r3_current_settlement,1596618745365,1596618745981
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r2_current_raion,1596618746060,1596618748222
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r1_current_oblast,1596618748244,1596618751912
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/comments_enumerator/q1_comments_enumerators,1596618751924,1596618753154
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p18_thanks,1596618753168,1596618760754
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p17_follow_up,1596618760766,1596618763406
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p18_thanks,1596618763419,1596618766986
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/comments_enumerator/q1_comments_enumerators,1596618767001,1596618768844
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r1_current_oblast,1596618768859,1596618769832
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r2_current_raion,1596618769864,1596618774530
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r3_current_settlement,1596618774626,1596618782488
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r4_current_rectangle_id,1596618782658,1596618785862
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r3_current_settlement,1596618786046,1596618788022
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r2_current_raion,1596618788098,1596618790166
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r3_current_settlement,1596618790271,1596618838713
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r4_current_rectangle_id,1596618838873,1596618847597
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r5_gps_work,1596618847697,1596618848607
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r6_gpslocation,1596618848625,1596618868564
