event,node,start,end
form start,,1596103275679,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596103275682,1596103276728
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596103276757,1596103277881
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596103277913,1596103279615
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596103279627,1596109380112
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596109380180,1596109382115
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596109382125,1596109399705
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596109399723,1596109400902
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596109400921,1596109424757
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596109424771,1596109426002
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596109426019,1596109426857
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596109426870,1596109429376
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596109429387,1596109430498
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596109430510,1596109434250
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596109434263,1596109441798
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596109441814,1596109474488
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596109474505,1596109480046
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596109480069,1596109491614
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596109491630,1596109497564
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596109497576,1596109504106
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596109504130,1596109510235
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596109510260,1596109513136
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596109513151,1596109516030
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596109516045,1596109520519
