event,node,start,end
form start,,1596614627207,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596614627208,1596614649322
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596614649334,1596614650743
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596614650755,1596614835825
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596614835839,1596614836844
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596614836862,1596614860081
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596614860090,1596614875722
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596614875732,1596614880298
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596614880309,1596614913849
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596614913858,1596614915803
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596614915818,1596614940590
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596614940600,1596614943021
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596614943039,1596614947090
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596614947106,1596614975303
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596614975314,1596614980849
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596614980857,1596614983214
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596614983224,1596614991775
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596614991784,1596615033847
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596615033856,1596615045084
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596615045098,1596615046792
