event,node,start,end
form start,,1597405519246,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597405519247,1597405520430
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597405520446,1597405521779
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597405521794,1597405533021
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597405533033,1597405539909
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597405539921,1597405542538
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597405542550,1597405544679
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597405544691,1597405545647
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597405545659,1597405575176
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597405575190,1597405576649
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597405576662,1597405581335
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597405581348,1597405606321
jump,,1597405606322,1597405619157
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1597405616918,1597405619157
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1597405619170,1597405631694
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1597405631707,1597405707368
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e4_damaged_accomodation,1597405707381,1597405721880
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e6_ownership_documents,1597405721893,1597405743077
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e8_ownership_documents_name,1597405743091,1597405744315
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e11_items_do_not_have_per_hh,1597405744327,1597405857801
jump,,1597405857801,1597405890724
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e12_items_not_every_hh_member,1597405866262,1597405890724
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e13_need_but_do_not_have,1597405890737,1597405893748
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f1_utility_services_used,1597405893760,1597405903781
jump,,1597405903781,1597405932010
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p1_informed_availability,1597405917122,1597405932010
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p2_informed_rights,1597405932022,1597405941236
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p3_informed_registration,1597405941248,1597405948002
