event,node,start,end
form start,,1596624692648,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596624692650,1596624738795
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596624738829,1596624740144
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596624740174,1596624741405
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596624741421,1596626083162
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596626083201,1596626093001
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596626093019,1596626095338
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596626095351,1596626099859
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a5_respond_behalf_hh,1596626099873,1596626102534
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596626102553,1596626103556
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596626103570,1596626107655
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596626107668,1596626109643
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596626109657,1596626111296
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596626111309,1596626111956
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596626111970,1596626118880
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596626118897,1596626120173
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596626120188,1596626121004
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596626121020,1596626123012
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596626123026,1596626124248
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596626124279,1596626149489
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596626149502,1596626153061
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596626153080,1596626161656
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596626161670,1596626165046
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596626165069,1596626191975
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596626191988,1596626201301
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596626201326,1596626211653
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596626211672,1596626216748
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596626216766,1596626219865
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596626219938,1596626226174
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596626226189,1596626227450
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596626227470,1596626233436
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596626233458,1596626234157
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596626234173,1596626236404
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596626236423,1596626245333
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596626245352,1596626248465
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1596626248479,1596626254191
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1596626254206,1596626255106
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1596626255119,1596626255981
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1596626255995,1596626267952
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1596626267967,1596626268797
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1596626268809,1596626271316
