event,node,start,end
form start,,1597129625345,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597129625346,1597129640398
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597129640413,1597129641534
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597129641546,1597129643121
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597129643129,1597129653252
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597129653263,1597129667020
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597129667036,1597129678163
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597129678172,1597129683098
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597129683111,1597129684542
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597129684552,1597129688438
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597129688447,1597129693030
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597129693040,1597129709438
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1597129709450,1597129718465
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597129718476,1597129720411
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1597129720421,1597129728452
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597129728464,1597129734702
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597129734712,1597129744505
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597129744515,1597129751776
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1597129751787,1597129752945
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597129752956,1597129762670
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597129762681,1597129768902
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597129768912,1597129770968
