event,node,start,end
form start,,1597132051897,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597132051900,1597132055861
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597132055904,1597132056916
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597132056929,1597132098434
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597132098443,1597132105903
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597132105913,1597132113976
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597132113985,1597132161596
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597132161606,1597132167013
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a5_respond_behalf_hh,1597132167019,1597132171872
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597132171879,1597132174229
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597132174238,1597132178765
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b7_hohh_age,1597132178775,1597132187394
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b8_hohh_sex,1597132187403,1597132194257
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597132194266,1597132196465
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597132196477,1597132208283
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597132208293,1597132209442
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597132209451,1597132214403
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597132214415,1597132224539
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597132224549,1597132232996
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597132233006,1597132237101
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1597132237113,1597132237834
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597132237844,1597132245921
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597132245933,1597132259186
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597132259197,1597132267061
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1597132267096,1597132271892
