event,node,start,end
form start,,1597128858315,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597128858325,1597128865178
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597128865219,1597128866091
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597128866120,1597128884858
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597128884870,1597128887756
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597128887776,1597128888893
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597128888926,1597128900480
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597128900497,1597128901471
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597128901487,1597128904988
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597128905005,1597128905836
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597128905853,1597128907071
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597128907100,1597128916197
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597128916217,1597128918168
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597128918199,1597128919332
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597128919355,1597128919946
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597128919961,1597128926207
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1597128926232,1597128936449
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597128936467,1597128941132
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597128941154,1597128944344
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1597128944369,1597128951109
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597128951130,1597128956373
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597128956396,1597128960017
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597128960039,1597128961937
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597128961949,1597128962789
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597128962809,1597128964726
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597128964751,1597128969712
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1597128969776,1597128973051
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1597128973068,1597128974049
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1597128974085,1597128976346
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1597128976370,1597128980115
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1597128980131,1597128982543
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1597128982564,1597128987222
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1597128987238,1597128989088
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1597128989105,1597128990910
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1597128990930,1597128993051
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1597128993065,1597129005243
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e4_damaged_accomodation,1597129005272,1597129006815
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1597129006830,1597129008186
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e4_damaged_accomodation,1597129008209,1597129013990
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e6_ownership_documents,1597129014017,1597129017749
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e8_ownership_documents_name,1597129017767,1597129020190
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e11_items_do_not_have_per_hh,1597129020206,1597129022734
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e8_ownership_documents_name,1597129022753,1597129027224
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e11_items_do_not_have_per_hh,1597129027241,1597129035967
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e12_items_not_every_hh_member,1597129035994,1597129054942
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e13_need_but_do_not_have,1597129054963,1597129057736
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f1_utility_services_used,1597129057760,1597129060651
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e13_need_but_do_not_have,1597129060670,1597129061181
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f1_utility_services_used,1597129061198,1597129071705
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f2_spend_on_utilities,1597129071724,1597129084183
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f4_type_fuel_heating,1597129084196,1597129089624
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f6_how_many_wood_hh_consumed_last_winter,1597129089645,1597129095163
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f8_do_you_receive_state_subsidies_for_utilities_gas,1597129095178,1597129097693
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f9_electricity_shortages,1597129097714,1597129106140
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f10_gas_shortages,1597129106161,1597129108744
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f11_dinking_water_source,1597129108763,1597129118276
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f12_drinking_water_treat,1597129118300,1597129123330
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f14_technical_water_source,1597129123348,1597129124859
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f15_water_shortages,1597129124876,1597129136250
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f16_duration_water_shortages,1597129136273,1597129143183
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f17_store_drinking_water,1597129143199,1597129152459
