event,node,start,end
form start,,1596865648679,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596865648680,1596865650629
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596865650644,1596865651711
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596865651726,1596865899144
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596865899158,1596865906880
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596865906892,1596865909546
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596865909560,1596865919191
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596865919208,1596865926139
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596865926150,1596865927513
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596865927526,1596865931340
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596865931357,1596865934792
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596865934804,1596865955213
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596865955228,1596865957154
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596865957168,1596865969876
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596865969891,1596865977326
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596865977344,1596865983167
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596865983180,1596865986965
