event,node,start,end
form start,,1597305444373,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597305444374,1597305445400
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597305445415,1597305446351
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597305446363,1597305494259
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597305494269,1597305558349
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597305558368,1597305559324
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597305559336,1597305560297
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597305560308,1597305561275
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597305561284,1597305562517
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597305562528,1597305565961
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597305565977,1597305567461
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597305567473,1597305575972
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1597305575981,1597305589618
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597305589628,1597305600974
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1597305600992,1597305602086
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597305602100,1597305603737
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597305603747,1597305632275
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597305632285,1597305633627
