event,node,start,end
form start,,1597137645869,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597137645872,1597137647161
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597137647190,1597137649071
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597137649098,1597137711966
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597137711979,1597137722641
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597137722659,1597137742901
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597137742925,1597137744075
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597137744091,1597137757243
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597137757255,1597137758340
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597137758362,1597137805930
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597137805944,1597137810668
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597137810686,1597137822204
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1597137822228,1597137832632
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597137832655,1597137834773
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597137834795,1597137859617
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597137859631,1597137861318
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1597137861349,1597137862187
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597137862209,1597137880546
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597137880561,1597137896302
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597137896320,1597137898030
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1597137898043,1597137899797
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1597137899821,1597137907041
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1597137907065,1597137911261
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1597137911275,1597137917906
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e4_damaged_accomodation,1597137917925,1597137919946
