event,node,start,end
form start,,1596621624124,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596621624128,1596621627098
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596621627112,1596621630120
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596621630133,1596621632135
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596621632148,1596621667916
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596621667933,1596621671393
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596621671407,1596621674507
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596621674519,1596621676183
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596621676195,1596621679809
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596621679823,1596621684668
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596621684684,1596621687905
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596621687921,1596621693439
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596621693451,1596621699141
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596621699159,1596621707230
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596621707248,1596621714249
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596621714263,1596621720094
