event,node,start,end
form start,,1596707404316,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596707404317,1596707406019
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596707406056,1596707407892
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596707407907,1596707410422
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596707410438,1596707440228
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596707440239,1596707447172
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596707447183,1596707459192
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596707459201,1596707463997
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596707464003,1596707465318
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596707465329,1596707469219
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596707469228,1596707478651
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596707478662,1596707494527
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596707494535,1596707526927
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596707526943,1596707539303
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596707539313,1596707561846
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596707561856,1596707562832
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596707562841,1596707580028
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596707580041,1596707643907
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596707643920,1596707658535
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b19_hohh_benefit_receive,1596707658558,1596707660928
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596707660938,1596707662670
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596707662679,1596707668537
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596707668547,1596707669599
