event,node,start,end
form start,,1596700545460,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596700545461,1596700546161
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596700546170,1596700548560
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596700548570,1596700550555
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596700550560,1596700944917
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596700944931,1596700957606
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596700957615,1596700977617
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a5_respond_behalf_hh,1596700977623,1596700980167
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596700980173,1596700981209
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596700981217,1596700984081
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596700984088,1596700993915
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596700993923,1596701023430
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596701023438,1596701031142
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596701031150,1596701037513
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596701037521,1596701042544
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596701042550,1596701044643
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596701044653,1596701045615
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596701045624,1596701060286
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596701060293,1596701068708
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596701068716,1596701069937
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596701069943,1596701071883
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596701071889,1596701074400
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596701074406,1596701085983
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1596701085989,1596701087570
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1596701087576,1596701090273
