event,node,start,end
form start,,1596611601542,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596611601544,1596611605283
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596611605298,1596611606353
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596611606367,1596611610933
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596611610940,1596611613105
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596611613119,1596611621678
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596611621690,1596611642697
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596611642706,1596611645455
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596611645465,1596611655387
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596611655396,1596611656415
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596611656426,1596611657064
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596611657074,1596611657842
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596611657855,1596611658815
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596611658828,1596611692754
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596611692765,1596611696359
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596611696370,1596611707548
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596611707560,1596611712259
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596611712269,1596611724882
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b13_why_hohh_unemployed,1596611724894,1596611846865
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596611846874,1596611856517
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596611856528,1596611859179
