event,node,start,end
form start,,1596871774552,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596871774552,1596871793960
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596871793975,1596871794862
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596871794874,1596871859608
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596871859621,1596871895697
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596871895714,1596871896640
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596871896651,1596871897777
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596871897786,1596871899178
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596871899188,1596871923195
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596871923204,1596871931757
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596871931767,1596871939891
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596871939903,1596871952310
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596871952320,1596871953305
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596871953321,1596871954152
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596871954166,1596871955138
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596871955148,1596871956838
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596871956848,1596871962058
