event,node,start,end
form start,,1596539735956,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596539735958,1596539737812
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596539737833,1596539740371
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596539740387,1596539756555
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596539756569,1596539768303
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596539768321,1596539988729
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596539988742,1596539990802
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596539990813,1596540009681
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596540009695,1596540018517
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596540018535,1596540038776
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596540038788,1596540105290
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596540105301,1596540109995
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596540110007,1596540121604
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596540121617,1596540123115
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596540123126,1596540123981
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596540123992,1596540131894
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596540131905,1596540132897
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596540132910,1596540137908
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596540137920,1596540158511
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596540158523,1596540174831
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596540174845,1596540193588
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b13_why_hohh_unemployed,1596540193601,1596540194427
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596540194438,1596540199306
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b13_why_hohh_unemployed,1596540199318,1596540205231
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596540205247,1596540239885
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b13_why_hohh_unemployed,1596540239902,1596540241816
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596540241828,1596540251610
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596540251627,1596540252716
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596540252728,1596540254140
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596540254153,1596540256798
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596540256810,1596540262192
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596540262204,1596540273143
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596540273155,1596540275289
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596540275301,1596540280663
