event,node,start,end
form start,,1596707210488,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596707210495,1596707212452
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596707212540,1596707214438
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596707214493,1596707458012
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596707458037,1596707461653
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596707461679,1596707649782
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596707649801,1596707655314
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596707655336,1596707676974
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596707676993,1596707686536
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596707686552,1596707698014
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596707698035,1596707699985
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596707700019,1596707702339
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596707702364,1596707720457
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596707720477,1596707740345
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596707740366,1596707744892
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596707744914,1596707747503
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596707747524,1596707759405
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596707759435,1596707765614
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596707765633,1596707775620
