event,node,start,end
form start,,1596271271224,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596271271226,1596271272166
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596271272199,1596271273918
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596271273951,1596271301740
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596271301754,1596271308408
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596271308422,1596271356305
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596271356316,1596271357551
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596271357569,1596271419723
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596271419740,1596271422806
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596271422822,1596271489426
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596271489439,1596271532899
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596271532914,1596271536810
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596271536841,1596271552941
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596271552958,1596271559829
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596271559844,1596271561201
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596271561222,1596271567101
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596271567122,1596271571751
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596271571771,1596271585466
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596271585481,1596271615327
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596271615345,1596271618302
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596271618327,1596271624417
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596271624433,1596271629102
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596271629121,1596271631254
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596271631282,1596271635745
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596271635764,1596271641661
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596271641684,1596271643850
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596271643870,1596271647627
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_home_type,1596271647652,1596271649491
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_shelter_type,1596271649510,1596271651527
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_home_type,1596271651541,1596271657118
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_shelter_type,1596271657132,1596271662919
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1596271662947,1596271685281
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e4_damaged_accomodation,1596271685300,1596271695331
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e10_gpc_eviction_risk,1596271695346,1596271709443
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e11_items_do_not_have_per_hh,1596271709456,1596271724168
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e12_items_not_every_hh_member,1596271724182,1596271730177
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e13_need_but_do_not_have,1596271730198,1596271735318
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f1_utility_services_used,1596271735333,1596271747298
