event,node,start,end
form start,,1596793902341,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596793902345,1596793954898
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596793954928,1596793958315
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596793958345,1596793960561
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596793960575,1596793967992
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596793968005,1596793969218
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596793969244,1596793979072
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596793979086,1596793984795
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596793984807,1596793985948
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596793985963,1596793989701
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596793989716,1596793994491
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596793994511,1596794013733
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596794013760,1596794020054
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596794020074,1596794022292
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596794022308,1596794030334
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596794030353,1596794036542
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596794036557,1596794037652
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596794037668,1596794040569
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596794040583,1596794041393
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596794041406,1596794042901
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596794042918,1596794049113
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b19_hohh_benefit_receive,1596794049135,1596794051595
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596794051614,1596794061463
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596794061479,1596794069965
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596794070023,1596794078450
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596794078462,1596794079453
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596794079471,1596794082752
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596794082776,1596794086559
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c1_hh_memb_age,1596794086623,1596794095635
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c2_hh_memb_sex,1596794095646,1596794096515
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c3_hh_member_description,1596794096538,1596794103446
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c5_hh_memb_income,1596794103472,1596794115794
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[3]/c1_hh_memb_age,1596794115846,1596794120094
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[3]/c2_hh_memb_sex,1596794120111,1596794121525
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[3]/c5_hh_memb_income,1596794121544,1596794126938
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[3]/c2_hh_memb_sex,1596794126954,1596794128110
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[3]/c5_hh_memb_income,1596794128153,1596794132667
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[4]/c1_hh_memb_age,1596794132731,1596794134427
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[4]/c2_hh_memb_sex,1596794134444,1596794136142
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[4]/c5_hh_memb_income,1596794136160,1596794137751
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596794137766,1596794139363
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1596794139379,1596794142298
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1596794142321,1596794151519
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1596794151545,1596794167048
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e4_damaged_accomodation,1596794167062,1596794172386
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e7_rent_agreement,1596794172408,1596794175537
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e8_ownership_documents_name,1596794175558,1596794180483
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e9_cost_of_month_rent,1596794180499,1596794191452
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e9_1_hh_have_ability_to_pay_rent,1596794191465,1596794205026
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e11_items_do_not_have_per_hh,1596794205043,1596794215177
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e12_items_not_every_hh_member,1596794215190,1596794224986
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e13_need_but_do_not_have,1596794225005,1596794238209
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f1_utility_services_used,1596794238221,1596794261081
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f2_spend_on_utilities,1596794261096,1596794270020
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f4_type_fuel_heating,1596794270035,1596794275431
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f5_type_fuel_heating_amount,1596794275460,1596794285443
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f8_do_you_receive_state_subsidies_for_utilities_gas,1596794285457,1596794288552
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f9_electricity_shortages,1596794288567,1596794295781
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f11_dinking_water_source,1596794295804,1596794304395
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f12_drinking_water_treat,1596794304409,1596794307515
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f14_technical_water_source,1596794307537,1596794309397
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f17_store_drinking_water,1596794309422,1596794311612
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f18_water_sufficient,1596794311627,1596794312926
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f17_store_drinking_water,1596794312940,1596794315386
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f18_water_sufficient,1596794315401,1596794321237
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f19_type_toilets,1596794321264,1596794327979
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f20_problms_pump_sewage,1596794327995,1596794334016
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f21_method_garbage_dispose,1596794334039,1596794339270
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g1_cereals_consumption,1596794339287,1596794355750
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g2_roots_consumption,1596794355771,1596794362763
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g3_vegetables_consumption,1596794362781,1596794365014
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g4_fruits_consumption,1596794365033,1596794368979
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g5_meat_consumption,1596794368996,1596794381582
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g6_eggs_consumption,1596794381605,1596794385066
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g7_pulses_consumption,1596794385091,1596794392487
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g8_dairy_consumption,1596794392509,1596794397297
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g9_oil_consumption,1596794397319,1596794405215
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g10_sugar_consumption,1596794405243,1596794411966
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_consumption/g11_condiments_consumption,1596794411988,1596794414047
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_security/h1_nofood_noresources,1596794414067,1596794415246
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_security/h2_sleep_hungry,1596794415265,1596794416180
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/food_security/h3_day_and_night_hungry,1596794416203,1596794416917
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i1_coping_strategies,1596794416936,1596794426776
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i2_spent_savings,1596794426799,1596794446182
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i3_borrowed_food,1596794446202,1596794450496
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i4_live_another_family,1596794450517,1596794452520
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i5_sold_assets,1596794452542,1596794453944
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i6_removed_children_from_school_kindergarten,1596794453962,1596794457145
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i7_reduced_health_care,1596794457162,1596794458586
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i6_removed_children_from_school_kindergarten,1596794458600,1596794464136
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i7_reduced_health_care,1596794464150,1596794472505
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i8_reduced_education,1596794472528,1596794477229
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i9_sold_house,1596794477251,1596794478917
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i10_hh_migrated,1596794478942,1596794483068
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i11_moved_for_work,1596794483086,1596794484739
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/coping_strategies/i12_risk_job,1596794484755,1596794488961
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j1_edu_facility_hh_access,1596794488976,1596794498407
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j2_precovid_number_children_school,1596794498421,1596794527999
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j2_1_boys_5_12_precovid_attend,1596794528013,1596794530913
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j2_2_girls_5_12_precovid_attend,1596794530927,1596794533213
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j2_5_boys_16_18_precovid_attend,1596794533226,1596794535913
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j2_2_girls_5_12_precovid_attend,1596794535927,1596794536663
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j2_1_boys_5_12_precovid_attend,1596794536676,1596794542746
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j2_2_girls_5_12_precovid_attend,1596794542761,1596794543920
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j2_5_boys_16_18_precovid_attend,1596794543936,1596794545920
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j2_6_girls_16_18_precovid_attend,1596794545933,1596794547129
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j3_precovid_number_children_dropped,1596794547145,1596794562319
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j4_number_children_follow_curriculum,1596794562337,1596794577468
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j4_1_boys_5_12_follow_curriculum,1596794577481,1596794581054
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j4_2_girls_5_12_follow_curriculum,1596794581071,1596794582974
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j4_5_boys_16_18_follow_curriculum,1596794582989,1596794584695
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j4_6_girls_16_18_follow_curriculum,1596794584712,1596794586013
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j5_unable_attend_school_more_than_month,1596794586027,1596794596900
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j8_problems_school,1596794596918,1596794619390
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j9_education_security_concerns_childs_commute_to_school,1596794619408,1596794631624
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j10_education_security_concerns_in_the_vicinity_of_facility,1596794631638,1596794634090
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j11_school_supplies_affordable,1596794634103,1596794645304
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_education/j12_children_under18_absent,1596794645328,1596794652542
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l1_specialist_care_available,1596794652567,1596794676524
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l2_HH_access_healthcare,1596794676541,1596794683798
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l3_difficult_access_health,1596794683815,1596794691969
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l5_state_medication_aware,1596794691990,1596794698955
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l7_pss,1596794698977,1596794700925
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l8_trauma_rehab,1596794700940,1596794703483
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_healthcare/l9_time_walk_health_facility,1596794703509,1596794728185
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/access_to_services_food_market/m1_probl_food_market_access,1596794728204,1596794735915
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n1_HH_total_expenditure,1596794735931,1596794746946
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n2_spend_on_food,1596794746959,1596794751546
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n3_in_debt,1596794751562,1596794755053
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n6_hhmember_security_incident_30days,1596794755077,1596794763204
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n7_gpc_docs_passport,1596794763225,1596794765209
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n10_gpc_docs_birthcert,1596794765226,1596794765982
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n11_birth_certificates_issued,1596794765995,1596794767106
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n14_docs_legal_assistance_needed,1596794767130,1596794770547
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n15_legal_assistance_needed,1596794770564,1596794776269
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n16_gpc_access_justice,1596794776289,1596794790087
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n17_community_affectedby_mines,1596794790112,1596794793540
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n18_aware_mine_incident,1596794793556,1596794795282
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n19_extent_mines_affect,1596794795298,1596794805971
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Protection/n21_ewr_report,1596794805985,1596794808341
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/covid19_impact/o1_restrictions_impact_hh,1596794808363,1596794828961
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/covid19_impact/o2_hh_action_prevent_covid,1596794828981,1596794835845
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/covid19_impact/o3_hh_activity_member_ill_or_deceased,1596794835866,1596794838459
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p0_informed_about_the_topics,1596794838480,1596794839537
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p1_informed_availability,1596794839555,1596794846969
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p2_informed_rights,1596794846989,1596794849970
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p3_informed_registration,1596794849993,1596794851545
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p2_informed_rights,1596794851559,1596794853547
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p3_informed_registration,1596794853562,1596794857492
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p4_informed_behaviour,1596794857515,1596794863383
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p5_priority_needs,1596794863399,1596794890923
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p6_HH_received_aid_12_months,1596794890940,1596794893323
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p12_type_information,1596794893343,1596794922182
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p13_information_source,1596794922199,1596794941700
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p14_preferred_means_information,1596794941723,1596794952159
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p15_delivery_mode_type,1596794952177,1596794967737
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p16_soap_household,1596794967755,1596794991908
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p17_follow_up,1596794991922,1596794994947
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accountability_humanitarian_organizations/p18_thanks,1596794994965,1596794995955
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/comments_enumerator/q1_comments_enumerators,1596794995974,1596794997622
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r1_current_oblast,1596794997636,1596794998988
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r2_current_raion,1596794999018,1596795008183
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r3_current_settlement,1596795008278,1596795016073
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r4_current_rectangle_id,1596795016248,1596795018349
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r5_gps_work,1596795018447,1596795019451
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/Location_information/r6_gpslocation,1596795019471,1596795039224
end screen,,1596795039238,1596795041741
form save,,1596795043318,
form exit,,1596795043319,
form finalize,,1596795043319,
