event,node,start,end
form start,,1597305217013,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597305217017,1597305224509
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597305224591,1597305225918
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597305225943,1597305242092
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597305242106,1597305318031
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597305318051,1597305347581
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597305347607,1597305359166
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597305359183,1597305370676
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597305370689,1597305375882
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597305375899,1597305439770
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597305439788,1597305446624
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597305446637,1597305448459
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a5_respond_behalf_hh,1597305448472,1597305449974
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597305449989,1597305451926
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597305451947,1597305455978
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b7_hohh_age,1597305455995,1597305472970
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b8_hohh_sex,1597305472985,1597305474170
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597305474185,1597305482044
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597305482068,1597305503074
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597305503189,1597305505776
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597305505795,1597305522775
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597305522790,1597305526468
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597305526484,1597305544125
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597305544138,1597305547251
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1597305547267,1597305562594
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597305562622,1597305566637
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b19_hohh_benefit_receive,1597305566658,1597305569500
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597305569515,1597305570875
