event,node,start,end
form start,,1597217496862,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597217496863,1597217497948
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597217498021,1597217499149
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597217499161,1597217531930
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597217531938,1597217554689
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597217554709,1597217570427
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597217570438,1597217578047
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597217578056,1597217579034
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597217579042,1597217581859
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597217581869,1597217598072
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597217598081,1597217603227
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597217603242,1597217606492
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597217606501,1597217612586
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597217612597,1597217655388
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_1_hohh_vulnerability_other,1597217655397,1597217669327
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597217669337,1597217679888
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597217679898,1597217705808
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597217705817,1597217706937
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_1_hohh_vulnerability_other,1597217706948,1597217708820
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597217708835,1597217711913
