event,node,start,end
form start,,1597141321514,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597141321517,1597141326168
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597141326203,1597141327337
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597141327370,1597141329210
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597141329228,1597141497598
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597141497617,1597141498818
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597141498836,1597141504098
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597141504114,1597141505280
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597141505295,1597141506520
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597141506545,1597141511629
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597141511645,1597141519441
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597141519456,1597141530682
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597141530702,1597141535021
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1597141535042,1597141543452
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597141543480,1597141554575
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597141554586,1597141567307
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597141567328,1597141572041
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597141572066,1597141578834
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1597141578892,1597141583233
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1597141583250,1597141584618
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1597141584634,1597141587425
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1597141587441,1597141589350
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1597141589364,1597141592802
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1597141592825,1597141595683
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1597141595704,1597141596650
