event,node,start,end
form start,,1596780915357,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596780915363,1596780923190
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596780923277,1596780925553
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596780925580,1596780926543
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596780926572,1596780929004
form resume,,1596781288068,
jump,,1596781288069,1596781292717
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596781292774,1596781294440
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596781294576,1596781295865
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596781295887,1596782188908
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596782188927,1596782200436
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596782200466,1596782202355
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596782202373,1596782212232
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596782212250,1596782214239
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596782214255,1596782215671
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596782215693,1596782219471
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596782219489,1596782223172
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596782223192,1596782232559
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596782232576,1596782234688
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596782234702,1596782241319
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596782241343,1596782247539
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596782247553,1596782248766
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596782248777,1596782251564
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596782251582,1596782252653
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596782252669,1596782255025
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596782255039,1596782265487
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596782265499,1596782267454
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596782267470,1596782268306
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596782268327,1596782270353
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b19_hohh_benefit_receive,1596782270373,1596782272476
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596782272493,1596782273431
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b19_hohh_benefit_receive,1596782273448,1596782274258
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596782274280,1596782278963
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596782278982,1596782285077
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596782285135,1596782288617
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596782288633,1596782289808
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596782289829,1596782290972
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596782290985,1596782291761
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596782291773,1596782302144
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596782302162,1596782306428
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596782306442,1596782307687
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1596782307701,1596782309587
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1596782309608,1596782313304
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1596782313329,1596782323072
