event,node,start,end
form start,,1596780892099,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596780892101,1596780892967
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596780893026,1596780894228
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596780894242,1596780895263
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596780895283,1596780895715
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596780895729,1596780896629
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596780896648,1596780898286
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596780898300,1596780899756
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596780899767,1596781013476
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596781013491,1596781014467
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596781014479,1596781053854
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596781053868,1596781054757
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596781054769,1596781055798
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596781055810,1596781058004
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596781058018,1596781066753
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596781066765,1596781077355
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596781077368,1596781105509
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596781105521,1596781107050
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596781107061,1596781115639
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596781115655,1596781118303
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596781118315,1596781119971
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596781119985,1596781148175
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596781148188,1596781157534
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596781157547,1596781158840
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596781158854,1596781174325
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1596781174336,1596781176203
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1596781176214,1596781177651
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1596781177662,1596781201057
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e4_damaged_accomodation,1596781201069,1596781213603
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e6_ownership_documents,1596781213621,1596781220922
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e8_ownership_documents_name,1596781220935,1596781229065
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e11_items_do_not_have_per_hh,1596781229077,1596781242033
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e12_items_not_every_hh_member,1596781242045,1596781265062
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e13_need_but_do_not_have,1596781265075,1596781267982
