event,node,start,end
form start,,1596093593743,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596093593744,1596093595807
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596093595819,1596093596543
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596093596554,1596093599049
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596093599059,1596093673111
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596093673121,1596093674155
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596093674168,1596093675007
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596093675018,1596093695853
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596093695860,1596093696785
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596093696793,1596093697498
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596093697506,1596093698406
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596093698419,1596093749699
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596093749707,1596093762329
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596093762344,1596093763571
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596093763580,1596093764464
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596093764472,1596093765528
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596093765541,1596093766669
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596093766680,1596093767714
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596093767723,1596093814591
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596093814600,1596093838395
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596093838407,1596093845155
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596093845167,1596093891265
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596093891276,1596093916841
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596093916850,1596093921536
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596093921547,1596093925273
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596093925282,1596093931082
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596093931094,1596093935619
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596093935630,1596093936932
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596093936942,1596093937847
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596093937856,1596093938554
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596093938564,1596093938879
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596093938893,1596093939633
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596093939642,1596093941467
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596093941479,1596093944021
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596093944031,1596093945217
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596093945226,1596093954146
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596093954161,1596093965724
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596093965734,1596093966813
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596093966821,1596093980832
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596093980843,1596094000399
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596094000408,1596094001935
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_home_type,1596094001947,1596094008607
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_shelter_type,1596094008621,1596094019161
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1596094019172,1596094024209
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e4_damaged_accomodation,1596094024224,1596094030293
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e6_ownership_documents,1596094030304,1596094044228
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e8_ownership_documents_name,1596094044239,1596094047931
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e10_gpc_eviction_risk,1596094047942,1596094050368
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e11_items_do_not_have_per_hh,1596094050384,1596094067684
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e12_items_not_every_hh_member,1596094067693,1596094092013
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e13_need_but_do_not_have,1596094092025,1596094094847
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f1_utility_services_used,1596094094856,1596094108699
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f2_spend_on_utilities,1596094108709,1596094144204
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f3_spend_on_heating,1596094144214,1596094156986
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f4_type_fuel_heating,1596094156995,1596094168049
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/utilities/f8_do_you_receive_state_subsidies_for_utilities_gas,1596094168061,1596094174752
