event,node,start,end
form start,,1596782366070,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596782366071,1596782373835
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596782373855,1596782380203
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596782380221,1596782463876
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596782463883,1596782513323
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596782513333,1596782526485
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596782526495,1596782527213
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596782527225,1596782536533
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596782536543,1596782542336
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596782542347,1596782557210
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596782557221,1596782566211
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596782566222,1596782569779
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596782569789,1596782571857
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596782571874,1596782586592
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596782586669,1596782593643
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596782593661,1596782613463
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596782613474,1596782614769
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596782614779,1596782625969
