event,node,start,end
form start,,1596099012756,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596099012759,1596099014340
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596099014382,1596099016655
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596099016686,1596099219999
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596099220012,1596099234258
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596099234271,1596099235867
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596099235886,1596099239701
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596099239716,1596099242376
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596099242389,1596099250792
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596099250805,1596099257418
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596099257432,1596099258617
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596099258632,1596099259425
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596099259438,1596099260115
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596099260131,1596099264090
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596099264105,1596099268743
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596099268758,1596099279322
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596099279340,1596099307043
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b13_why_hohh_unemployed,1596099307062,1596099321407
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b13_1_why_hohh_unemployed_other,1596099321423,1596099335509
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596099335523,1596099345119
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596099345134,1596099351591
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596099351617,1596099356139
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596099356162,1596099371475
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596099371548,1596099377144
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596099377157,1596099379326
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596099379347,1596099388408
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596099388428,1596099394193
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c1_hh_memb_age,1596099394255,1596099405385
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596099405398,1596099406326
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596099406339,1596099407827
