event,node,start,end
form start,,1596703021603,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596703021609,1596703024542
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596703024578,1596703025794
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596703025818,1596703028477
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596703028503,1596703030536
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596703030560,1596703032102
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596703032127,1596703034419
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596703034442,1596703035494
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596703035513,1596703040302
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596703040330,1596703047026
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596703047040,1596703097730
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596703097746,1596703099547
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596703099566,1596703100922
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596703100938,1596703103751
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596703103766,1596703105621
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596703105637,1596703109976
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596703109999,1596703113281
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596703113300,1596703114861
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596703114896,1596703134033
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596703134056,1596703135758
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596703135771,1596703137120
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596703137135,1596703141761
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596703141773,1596703143936
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596703143954,1596703144910
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596703144922,1596703146171
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596703146184,1596703147486
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596703147499,1596703148337
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596703148353,1596703160309
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596703160326,1596703163001
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596703163021,1596703195096
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596703195110,1596703202195
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596703202209,1596703203239
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596703203254,1596703210451
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596703210474,1596703212171
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596703212186,1596703219427
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596703219453,1596703226522
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596703226539,1596703230346
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596703230359,1596703235714
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1596703235730,1596703238322
