event,node,start,end
form start,,1596523527601,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596523527602,1596523528550
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596523528565,1596523529469
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596523529481,1596523574331
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596523574340,1596523578437
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596523578447,1596523579527
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596523579537,1596523609814
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596523609826,1596523611201
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596523611215,1596523614630
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596523614643,1596523619345
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596523619355,1596523629596
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596523629607,1596523651589
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596523651600,1596523658323
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596523658337,1596523666540
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596523666551,1596523676937
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596523676948,1596523680768
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b19_hohh_benefit_receive,1596523680780,1596523684271
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596523684284,1596523686986
