event,node,start,end
form start,,1596623495176,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596623495183,1596623496286
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596623496371,1596623498141
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596623498168,1596623507374
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596623507385,1596623521784
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596623521805,1596623574661
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596623574683,1596623581000
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596623581016,1596623582088
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596623582098,1596623584780
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596623584796,1596623585892
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596623585914,1596623655690
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596623655711,1596623657654
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596623657672,1596623664003
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596623664019,1596623667627
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596623667652,1596623677892
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596623677914,1596623692451
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596623692464,1596623694024
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596623694038,1596623699470
