event,node,start,end
form start,,1596703130203,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596703130207,1596703137508
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596703137584,1596703138556
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596703138568,1596703139928
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596703139936,1596703175056
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596703175071,1596703209316
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596703209325,1596703217112
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596703217120,1596703218538
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596703218547,1596703225088
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596703225098,1596703233630
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596703233640,1596703241115
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596703241130,1596703251565
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596703251574,1596703254417
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596703254432,1596703276501
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596703276512,1596703282781
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596703282790,1596703285953
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596703285963,1596703288094
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596703288105,1596703288950
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596703288958,1596703290511
