event,node,start,end
form start,,1596695738232,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596695738240,1596695745480
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596695745559,1596695753881
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596695753910,1596695755870
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596695755883,1596695763726
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596695763746,1596695765142
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596695765157,1596695766442
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596695766455,1596695770309
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596695770322,1596695771725
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596695771749,1596695774031
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596695774049,1596695776307
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596695776327,1596695785138
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596695785162,1596695794677
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596695794699,1596695797000
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596695797016,1596695802657
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596695802674,1596695854790
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596695854808,1596695990042
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596695990055,1596695990740
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596695990766,1596695991746
