event,node,start,end
form start,,1596190020980,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596190020981,1596190022162
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596190022179,1596190023748
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596190023760,1596190074194
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596190074202,1596190085677
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596190085686,1596190086788
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596190086807,1596190108089
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596190108099,1596190150126
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596190150134,1596190154011
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596190154020,1596190160502
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596190160513,1596190165594
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596190165605,1596190167752
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596190167765,1596190180356
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596190180368,1596190181795
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596190181804,1596190182862
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596190182872,1596190209658
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596190209670,1596190241905
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596190241916,1596190248774
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596190248783,1596190251598
