event,node,start,end
form start,,1596277662107,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596277662108,1596277663524
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596277663542,1596277669265
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596277669284,1596277671235
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596277671247,1596277701827
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596277701843,1596277703434
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596277703445,1596277706324
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596277706335,1596277707922
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596277707935,1596277719180
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596277719197,1596277720371
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596277720386,1596277722746
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596277722762,1596277736125
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596277736139,1596277740372
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596277740388,1596277742839
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596277742850,1596277768741
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596277768759,1596277779888
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596277779902,1596277783677
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596277783693,1596277791676
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596277791688,1596277793454
