event,node,start,end
form start,,1596176816483,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596176816489,1596176824515
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596176824550,1596176826546
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596176826580,1596176833922
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596176833935,1596176844601
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596176844614,1596176849787
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596176849804,1596176864110
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596176864122,1596176866300
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596176866313,1596176867529
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596176867552,1596176876203
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596176876222,1596176878249
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596176878262,1596176881454
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596176881476,1596176882310
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596176882325,1596176892019
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596176892034,1596176897311
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596176897325,1596176898874
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596176898892,1596176906561
