event,node,start,end
form start,,1596703452907,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596703452908,1596703461613
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596703461628,1596703462427
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596703462439,1596703466604
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596703466614,1596703474282
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596703474293,1596703475191
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596703475203,1596703476527
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596703476538,1596703478844
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596703478853,1596703480704
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596703480717,1596703482507
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596703482518,1596703483628
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596703483639,1596703487401
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596703487412,1596703514713
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596703514728,1596703515493
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596703515512,1596703524611
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596703524626,1596703525323
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596703525338,1596703527250
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596703527261,1596703529043
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596703529055,1596703532515
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596703532532,1596703533310
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596703533322,1596703538865
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596703538875,1596703540532
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596703540550,1596703543126
