event,node,start,end
form start,,1596181695019,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596181695035,1596181696019
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596181696043,1596181696954
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596181696969,1596181700887
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596181700895,1596181738861
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596181738871,1596181753640
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596181753649,1596181755368
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596181755374,1596181756542
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596181756549,1596181760101
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596181760108,1596181760869
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596181760875,1596181772473
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596181772481,1596181774400
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596181774404,1596181775670
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596181775678,1596181778279
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596181778290,1596181785952
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596181785959,1596181793978
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596181793991,1596181802073
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b13_why_hohh_unemployed,1596181802080,1596181810690
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596181810696,1596181813064
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596181813071,1596181816340
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596181816346,1596181821517
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596181821524,1596181852503
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596181852528,1596181856610
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596181856619,1596181858050
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596181858057,1596181859495
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596181859502,1596181862153
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c1_hh_memb_age,1596181862174,1596181865759
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c2_hh_memb_sex,1596181865769,1596181866833
