event,node,start,end
form start,,1597132458730,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597132458733,1597132459915
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597132459954,1597132462054
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597132462082,1597132504101
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597132504123,1597132523404
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597132523418,1597132559684
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597132559706,1597132561657
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597132561670,1597132563340
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597132563372,1597132567860
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597132567874,1597132570665
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597132570685,1597132617702
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1597132617714,1597132630248
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597132630269,1597132632588
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597132632605,1597132643154
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597132643165,1597132646605
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1597132646626,1597132648124
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597132648146,1597132650194
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597132650210,1597132675911
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597132675926,1597132681601
jump,,1597132681602,1597132683096
end screen,,1597132683158,1597132685256
form save,,1597132686167,
form exit,,1597132686167,
form resume,,1597134619870,
jump,,1597134619871,1597134632033
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597134632075,1597134635003
form exit,,1597134635003,
form resume,,1597135502720,
jump,,1597135502721,1597135509558
end screen,,1597135509601,1597135511443
form save,,1597135512356,
form exit,,1597135512356,
form resume,,1597136451079,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597136589785,1597136591164
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597136591196,1597136592943
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597136592977,1597136594438
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597136594454,1597136595597
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597136595615,1597136596975
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597136596994,1597136598648
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597136598668,1597136600363
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597136600376,1597136601585
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597136601600,1597136602708
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597136602721,1597136609589
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1597136609604,1597136612938
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597136612950,1597136614379
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597136614402,1597136615475
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597136615494,1597136617524
