event,node,start,end
form start,,1597128327330,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597128327331,1597128328354
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597128328369,1597128329171
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597128329180,1597128330790
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597128330795,1597128345262
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597128345269,1597128346414
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597128346421,1597128355502
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597128355508,1597128358975
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597128358983,1597128360166
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597128360172,1597128362904
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597128362911,1597128368750
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597128368755,1597128408265
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1597128408274,1597128432847
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597128432854,1597128434918
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597128434926,1597128439364
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597128439371,1597128441283
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1597128441290,1597128442437
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597128442444,1597128448418
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597128448425,1597128455936
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597128455943,1597128457936
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1597128457947,1597128459727
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1597128459740,1597128465213
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1597128465219,1597128466488
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1597128466497,1597128474628
