event,node,start,end
form start,,1596611399046,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596611399048,1596611400226
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596611400241,1596611401456
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596611401469,1596611402829
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596611402843,1596611447645
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596611447662,1596611448716
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596611448730,1596611449855
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596611449867,1596611451040
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596611451053,1596611452273
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596611452286,1596611454464
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596611454476,1596611455383
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596611455395,1596611476734
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596611476747,1596611479805
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596611479817,1596611495213
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596611495231,1596611496409
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596611496422,1596611501662
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596611501675,1596611502856
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596611502872,1596611512850
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_shelter_type,1596611512866,1596611514130
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e2_home_type,1596611514141,1596611515262
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e3_shelter_enclosure_issues,1596611515273,1596611528880
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e4_damaged_accomodation,1596611528892,1596611530164
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e6_ownership_documents,1596611530176,1596611532102
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e8_ownership_documents_name,1596611532115,1596611533130
