event,node,start,end
form start,,1597482300226,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597482300233,1597482301436
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597482301473,1597482303616
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597482303635,1597482305417
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597482305433,1597482316514
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597482316535,1597482317895
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597482317910,1597482336895
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597482336911,1597482338423
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597482338437,1597482348964
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597482348986,1597482358525
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597482358542,1597482377131
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597482377149,1597482385648
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597482385663,1597482434983
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597482435008,1597482437052
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1597482437068,1597482438484
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597482438501,1597482440714
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597482440734,1597482468376
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597482468392,1597482475010
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1597482475065,1597482652307
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597482652325,1597482653504
