event,node,start,end
form start,,1596268148564,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596268148568,1596268150359
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596268150404,1596268154653
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596268154684,1596268157244
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596268157261,1596268171025
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596268171039,1596268173302
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596268173324,1596268190049
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596268190067,1596268192715
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596268192731,1596268199317
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596268199335,1596268201078
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596268201098,1596268202815
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596268202833,1596268215882
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596268215899,1596268219863
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596268219896,1596268221362
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596268221386,1596268222659
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596268222672,1596268244566
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596268244579,1596268255546
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596268255558,1596268259998
