event,node,start,end
form start,,1597224564297,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597224564298,1597224565809
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597224565824,1597224566695
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597224566705,1597224568602
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597224568609,1597224595197
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597224595209,1597224597055
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597224597062,1597224598289
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597224598292,1597224599426
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597224599432,1597224601611
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597224601618,1597224602750
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597224602757,1597224608676
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597224608682,1597224610533
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597224610541,1597224613435
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597224613442,1597224615385
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1597224615391,1597224617783
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597224617790,1597224636465
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597224636475,1597224639263
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597224639270,1597224642533
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597224642540,1597224645849
