event,node,start,end
form start,,1596111106013,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596111106016,1596111112459
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596111112520,1596111120420
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596111120439,1596111121894
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596111121907,1596111126379
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596111126398,1596111127933
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596111127945,1596111129264
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596111129283,1596111130218
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596111130236,1596111131490
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596111131502,1596111134949
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596111134968,1596111141846
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596111141860,1596111171307
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_2_older_person,1596111171320,1596111172687
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596111172704,1596111174597
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596111174610,1596111187906
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596111187918,1596111189806
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596111189819,1596111195661
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596111195679,1596111197618
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596111197631,1596111198699
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596111198711,1596111211383
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b19_hohh_benefit_receive,1596111211395,1596111213992
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596111214004,1596111219861
