event,node,start,end
form start,,1596185945716,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596185945722,1596185952171
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596185952220,1596185954006
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596185954038,1596186024591
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596186024602,1596186027912
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596186027929,1596186033946
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596186033973,1596186070420
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596186070436,1596186075166
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596186075177,1596186076581
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596186076604,1596186079790
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596186079807,1596186087849
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596186087866,1596186104870
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596186104885,1596186109969
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596186109988,1596186111462
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596186111477,1596186117714
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596186117740,1596186153196
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596186153210,1596186172891
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b19_hohh_benefit_receive,1596186172913,1596186174303
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596186174332,1596186179665
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596186179681,1596186183332
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596186183391,1596186194576
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596186194588,1596186196873
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596186196900,1596186201397
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596186201418,1596186205612
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/accomodation/e1_home_type,1596186205625,1596186208159
