event,node,start,end
form start,,1597314057119,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597314057122,1597314058396
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597314058430,1597314060218
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597314060246,1597314082919
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597314082936,1597314096343
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597314096356,1597314104975
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597314104992,1597314119985
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597314120004,1597314124266
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597314124282,1597314125505
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597314125518,1597314134137
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597314134160,1597314138136
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597314138164,1597314143345
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1597314143361,1597314167164
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597314167196,1597314169912
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1597314169924,1597314174162
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597314174176,1597314178815
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597314178837,1597314188953
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597314188965,1597314193253
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1597314193276,1597314195398
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597314195417,1597314203649
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597314203673,1597314234611
