event,node,start,end
form start,,1596095455441,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596095455442,1596095479454
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596095479499,1596095486300
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596095486316,1596095729302
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596095729315,1596095746198
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596095746214,1596095746875
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596095746890,1596095748682
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596095748693,1596095756084
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596095756096,1596095816690
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596095816707,1596095817737
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596095817749,1596095939929
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596095939944,1596095950932
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596095950943,1596095952603
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596095952614,1596095955671
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596095955686,1596095960067
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596095960078,1596095973735
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596095973748,1596095982527
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596095982546,1596095984376
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596095984387,1596095989110
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596095989122,1596095996463
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596095996479,1596096000264
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596096000278,1596096003384
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596096003399,1596096009225
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596096009237,1596096015872
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596096015885,1596096029727
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596096029748,1596096033982
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596096033998,1596096040647
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596096040663,1596096044740
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596096044756,1596096045911
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596096045924,1596096049785
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596096049797,1596096058873
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/hh_displacement_status/d1_hh_displacement_status,1596096058884,1596096062850
