event,node,start,end
form start,,1597404210744,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597404210747,1597404212350
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597404212390,1597404215042
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597404215074,1597404246122
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597404246136,1597404260209
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597404260232,1597404296510
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597404296531,1597404308997
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597404309012,1597404311132
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597404311169,1597404316374
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597404316393,1597404320409
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597404320428,1597404332686
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597404332701,1597404333741
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597404333759,1597404334678
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597404334691,1597404335866
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597404335880,1597404342949
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597404342968,1597404354484
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597404354507,1597404361364
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1597404361389,1597404366488
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1597404366506,1597404370949
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597404370973,1597404382106
