event,node,start,end
form start,,1597131491135,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1597131491138,1597131496619
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1597131496655,1597131497516
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1597131497545,1597131510197
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1597131510210,1597131519363
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1597131519382,1597131527487
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1597131527507,1597131528373
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1597131528393,1597131529350
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1597131529367,1597131530614
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1597131530642,1597131540648
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1597131540685,1597131545506
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1597131545532,1597131553563
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1597131553579,1597131558367
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1597131558397,1597131567759
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597131567785,1597131577649
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597131577664,1597131578177
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1597131578193,1597131580414
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1597131580432,1597131585466
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1597131585491,1597131589733
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1597131589748,1597131601768
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1597131601821,1597131605399
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1597131605418,1597131606718
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1597131606738,1597131608663
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1597131608685,1597131621722
