event,node,start,end
form start,,1596799669158,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596799669159,1596799670629
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596799670645,1596799672977
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596799672991,1596799683298
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596799683310,1596799685533
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596799685546,1596799689188
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596799689201,1596799698047
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596799698058,1596799699673
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596799699684,1596799789645
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596799789659,1596799791270
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596799791282,1596799809321
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596799809333,1596799810366
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596799810377,1596799811541
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596799811557,1596799813168
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596799813180,1596799815935
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596799815946,1596799822623
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596799822635,1596799831347
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596799831360,1596799832288
