event,node,start,end
form start,,1596868355547,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596868355550,1596868356863
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596868356908,1596868358342
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596868358369,1596868393548
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596868393568,1596868538927
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596868538967,1596868540900
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596868540914,1596868563917
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596868563936,1596868564809
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596868564823,1596868572363
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596868572378,1596868573249
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596868573260,1596868585114
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596868585125,1596868587731
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596868587748,1596868590872
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596868590884,1596868591926
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a5_respond_behalf_hh,1596868591941,1596868594281
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596868594296,1596868597488
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596868597509,1596868602112
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b7_hohh_age,1596868602128,1596868606612
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b8_hohh_sex,1596868606624,1596868608491
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596868608510,1596868611700
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596868611724,1596868622199
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596868622222,1596868631225
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596868631243,1596868633908
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596868633927,1596868651456
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596868651472,1596868654811
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596868654830,1596868659883
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596868659903,1596868668155
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596868668211,1596868670474
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596868670488,1596868671861
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596868671881,1596868675049
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596868675064,1596868681247
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c1_hh_memb_age,1596868681292,1596868686755
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c2_hh_memb_sex,1596868686770,1596868688454
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c3_hh_member_description,1596868688466,1596868695001
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[2]/c5_hh_memb_income,1596868695021,1596868697047
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[3]/c1_hh_memb_age,1596868697096,1596868701680
