event,node,start,end
form start,,1596183932612,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596183932615,1596183934078
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596183934203,1596183936331
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596183936365,1596183938580
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596183938593,1596183951396
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596183951417,1596183953427
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596183953447,1596184002083
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596184002099,1596184003908
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596184003921,1596184005822
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596184005836,1596184009035
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a5_respond_behalf_hh,1596184009046,1596184010224
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596184010241,1596184011198
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596184011218,1596184012768
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596184012792,1596184016172
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596184016192,1596184018100
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596184018115,1596184023571
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596184023582,1596184049015
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596184049036,1596184072593
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596184072610,1596184076199
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596184076218,1596184081231
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596184081245,1596184084161
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596184084182,1596184086975
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596184086994,1596184087889
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596184087903,1596184089767
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b21_num_additional_hh_members,1596184089788,1596184093911
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c1_hh_memb_age,1596184093980,1596184108641
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c2_hh_memb_sex,1596184108662,1596184415273
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c3_hh_member_description,1596184415324,1596184417700
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/member_of_hh_profile[1]/c5_hh_memb_income,1596184417720,1596184426750
