event,node,start,end
form start,,1596281911654,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596281911666,1596281912874
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596281912973,1596281913839
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596281913868,1596281915282
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596281915295,1596281918227
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596281918250,1596281919387
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596281919413,1596281929817
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596281929829,1596281938020
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596281938035,1596281939258
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596281939275,1596281943168
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596281943187,1596281947006
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596281947028,1596281961488
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596281961511,1596281965511
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596281965525,1596281970454
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596281970484,1596281979619
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596281979638,1596281984326
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b20_hohh_level_education,1596281984346,1596281989672
