event,node,start,end
form start,,1596522765483,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596522765485,1596522766373
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596522766499,1596522767324
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596522767333,1596522768965
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596522768971,1596522776225
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596522776232,1596522777297
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596522777304,1596522786984
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596522786993,1596522791918
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596522791922,1596522793287
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596522793295,1596522796704
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596522796711,1596522800755
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596522800764,1596522809259
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596522809268,1596522811354
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596522811361,1596522820310
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596522820316,1596522822630
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b17_hohh_pension_receive,1596522822638,1596522823398
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b18_hohh_benefit_eligible,1596522823406,1596522824531
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b19_hohh_benefit_receive,1596522824537,1596522825806
