event,node,start,end
form start,,1596698104254,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596698104262,1596698106245
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596698106261,1596698112913
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596698112928,1596698118056
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596698118067,1596698148165
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596698148178,1596698149118
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596698149131,1596698150489
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596698150506,1596698151498
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596698151511,1596698153240
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596698153252,1596698155405
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596698155419,1596698156266
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596698156277,1596698179793
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596698179811,1596698184854
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596698184866,1596698198425
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b14_sector_hohh_employed,1596698198439,1596698199581
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596698199598,1596698200332
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b11_hohh_chronic_illness,1596698200343,1596698201410
