event,node,start,end
form start,,1596268251524,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596268251530,1596268252816
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596268252899,1596268256754
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596268256782,1596268258300
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596268258315,1596268274640
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596268274658,1596268279256
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596268279273,1596268289790
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596268289803,1596268291031
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596268291046,1596268295600
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596268295617,1596268301917
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596268301935,1596268308484
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596268308503,1596268325332
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_2_older_person,1596268325344,1596268326932
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596268326945,1596268328743
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596268328777,1596268330610
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596268330634,1596268331426
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596268331442,1596268332514
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b15_hohh_income,1596268332530,1596268343733
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b16_hohh_pension_eligible,1596268343760,1596268345316
