event,node,start,end
form start,,1596096059315,
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_office_city,1596096059316,1596096060926
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/enum_id,1596096060946,1596096061817
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a1_informed_consent,1596096061830,1596096063549
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a2_hh_representative_name,1596096063562,1596096075745
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596096075761,1596096077407
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596096077416,1596096146327
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596096146341,1596096152591
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596096152607,1596096184900
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596096184911,1596096187172
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596096187187,1596096195848
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596096195864,1596096196559
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596096196571,1596096249775
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596096249787,1596096251864
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_1_phone,1596096251874,1596096268673
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a3_consent_to_follow_up_calls,1596096268683,1596096270266
question,/a9gAn3VFyg5pQXK4GGviSN/metadata/a4_are_you_hohh,1596096270279,1596096304827
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b4_gender,1596096304837,1596096306171
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b5_age,1596096306182,1596096323731
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596096323741,1596096366104
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596096366114,1596096368236
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596096368250,1596096369685
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596096369696,1596096380967
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b9_hohh_marital_status,1596096380976,1596096382923
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596096382932,1596096420424
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_2_older_person,1596096420435,1596096421922
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596096421931,1596096429276
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596096429286,1596096430776
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596096430785,1596096432244
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596096432255,1596096441412
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b10_hohh_vulnerability,1596096441422,1596096442220
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596096442237,1596096458335
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b13_why_hohh_unemployed,1596096458346,1596096464417
question,/a9gAn3VFyg5pQXK4GGviSN/questionnaire/b3_hh_profile/b6_hohh_profile/b12_situation_description,1596096464430,1596096467423
